px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.36539	-10.609	-2.72905	-1.48378	-0.947453	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.36386	-10.4651	-2.71422	-1.54006	-0.952274	4.46329	-10.5756	4.45	-10.5	0	2.729	0.266534
4.38233	-10.3167	-2.70875	-1.60472	-0.964452	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.4048	-10.1732	-2.68719	-1.66805	-0.976241	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.29465
4.45448	-10.0245	-2.68824	-1.74288	-0.996695	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.48469	-9.88028	-2.69995	-1.7952	-0.992162	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.42825
4.54987	-9.73452	-2.70711	-1.86871	-1.01021	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.5683	-9.57611	-2.76767	-1.89098	-0.966549	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.06397
4.64943	-9.43331	-2.77719	-1.96344	-0.984641	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.72526	-9.29858	-2.77289	-2.0283	-0.996266	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.447525
4.83306	-9.15418	-2.80629	-2.10569	-1.01651	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.91658	-9.0335	-2.8105	-2.1648	-1.02653	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.124359
5.0067	-8.92321	-2.81106	-2.22176	-1.03174	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.07942	-8.79777	-2.81463	-2.24722	-0.988218	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.69023
5.20029	-8.66928	-2.84707	-2.31083	-0.995441	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.30115	-8.56544	-2.85178	-2.36028	-0.993751	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0757879
5.4151	-8.45924	-2.87309	-2.41291	-0.995514	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
5.50237	-8.35013	-2.84908	-2.42946	-0.941479	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.28951
5.6065	-8.25236	-2.82876	-2.47394	-0.93582	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
5.68136	-8.13463	-2.79615	-2.46712	-0.854278	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.83929
5.81595	-8.02383	-2.83129	-2.51256	-0.851378	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.90847	-7.9137	-2.8037	-2.51459	-0.786835	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.17745
6.04319	-7.80758	-2.83393	-2.55332	-0.781562	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.13147	-7.69816	-2.78941	-2.54329	-0.704187	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.66685
6.26167	-7.6002	-2.80649	-2.57655	-0.69869	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.35954	-7.49823	-2.76612	-2.57166	-0.634241	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.41798
6.48353	-7.40878	-2.76896	-2.60046	-0.628809	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.59773	-7.32605	-2.77344	-2.62292	-0.619247	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.789663
6.73032	-7.2347	-2.81128	-2.64554	-0.610569	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.7931	-7.11498	-2.69762	-2.59041	-0.47915	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	15.2213
6.91317	-7.02189	-2.70325	-2.60658	-0.469968	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
7.04304	-6.94508	-2.70619	-2.63037	-0.466815	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0348611
7.17518	-6.84846	-2.73075	-2.64368	-0.455112	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
7.2587	-6.74329	-2.64412	-2.60422	-0.357819	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.78415
7.38288	-6.64751	-2.66206	-2.612	-0.346746	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
7.5339	-6.60051	-2.7281	-2.67267	-0.413417	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.61754
7.65908	-6.52375	-2.74598	-2.68555	-0.406004	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
7.77422	-6.44438	-2.70945	-2.68457	-0.372913	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.18663
7.89885	-6.37742	-2.69857	-2.70163	-0.370152	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
8.01906	-6.30573	-2.66758	-2.70393	-0.343219	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.77414
8.15336	-6.2231	-2.68617	-2.71115	-0.332196	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
8.23339	-6.13683	-2.59578	-2.67497	-0.254829	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.51352
8.35217	-6.05004	-2.62198	-2.67207	-0.240002	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
8.50361	-5.99305	-2.6764	-2.70852	-0.276612	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.93683
8.64391	-5.91561	-2.6979	-2.7156	-0.268663	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
8.7362	-5.82406	-2.59643	-2.67594	-0.188741	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.24934
8.86671	-5.73334	-2.62084	-2.67127	-0.174484	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
8.95605	-5.6509	-2.55556	-2.6404	-0.116303	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.91776
9.07023	-5.55886	-2.58209	-2.62885	-0.100033	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
9.21294	-5.49562	-2.63973	-2.65929	-0.141168	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.41045
9.34541	-5.40443	-2.66393	-2.65378	-0.128693	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
9.43103	-5.3052	-2.56608	-2.60637	-0.0505497	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.75764
9.55602	-5.20881	-2.59068	-2.59572	-0.0379804	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
9.65205	-5.11682	-2.52878	-2.56176	0.0155236	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.49985
9.77012	-5.01423	-2.55362	-2.54617	0.0291543	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
9.86095	-4.91333	-2.50004	-2.50654	0.0836842	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.15633
9.97168	-4.81021	-2.5191	-2.48994	0.0946511	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
10.0503	-4.69696	-2.46699	-2.43925	0.157163	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.74144
10.1563	-4.57014	-2.50718	-2.40974	0.176116	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
10.2396	-4.45342	-2.48679	-2.36814	0.218205	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.65346
10.3472	-4.30812	-2.54832	-2.33262	0.23934	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
10.4676	-4.21372	-2.58809	-2.34533	0.202087	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.5211
10.5667	-4.07051	-2.63196	-2.31298	0.2209	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
10.6646	-3.95616	-2.63966	-2.2965	0.22577	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.123997
10.7627	-3.82247	-2.67018	-2.2728	0.235733	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
10.8124	-3.68044	-2.61683	-2.19934	0.320413	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.77682
10.8908	-3.53848	-2.64113	-2.16804	0.332424	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
10.9926	-3.43992	-2.67778	-2.18937	0.276121	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	3.07486
11.0688	-3.28741	-2.73016	-2.15632	0.292794	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0
11.1134	-3.13392	-2.70236	-2.08724	0.366737	11.1178	-2.98807	11.1	-3	0.907725	2.72317	4.34266
11.1808	-2.9697	-2.7421	-2.05096	0.380688	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0
11.2311	-2.81961	-2.74005	-2.00623	0.412199	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	0.869144
11.2882	-2.65018	-2.77945	-1.96934	0.424382	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0
